user_id,timestamp,heart_rate,sleep_stage,caffeine_intake_time,exercise_time,meal_time,pressure_level,temperature,humidity,air_quality
59,2024/9/14 20:00,72.92324179,rem,2024/9/14 6:00,2024/9/14 12:00,2024/9/14 16:00,2,21.41468126,59,27
34,2024/2/20 8:00,65.67726325,deep,2024/2/19 19:00,2024/2/20 4:00,2024/2/20 4:00,9,22.71326892,57,28
9,2024/8/9 8:00,63.52690411,rem,2024/8/8 16:00,2024/8/9 0:00,2024/8/9 3:00,5,19.58632729,30,38
31,2024/3/12 9:00,74.23266019,light,2024/3/11 20:00,2024/3/12 2:00,2024/3/12 3:00,4,22.78065048,43,31
97,2024/2/6 16:00,68.11413196,deep,2024/2/6 3:00,2024/2/6 11:00,2024/2/6 14:00,1,22.56515226,56,40
94,2024/7/3 11:00,72.60276528,rem,2024/7/2 20:00,2024/7/3 1:00,2024/7/3 7:00,3,19.2956201,47,38
100,2024/9/4 6:00,67.72712133,deep,2024/9/3 21:00,2024/9/4 0:00,2024/9/4 1:00,2,22.45318536,57,37
20,2024/10/28 23:00,68.36233535,deep,2024/10/28 9:00,2024/10/28 15:00,2024/10/28 18:00,9,21.02757355,31,21
100,2024/8/1 19:00,75.08506601,rem,2024/8/1 4:00,2024/8/1 7:00,2024/8/1 14:00,1,21.38125969,53,27
49,2024/8/31 19:00,66.88325313,deep,2024/8/31 9:00,2024/8/31 9:00,2024/8/31 13:00,7,22.64590281,56,37
89,2024/2/24 3:00,62.42558569,light,2024/2/23 15:00,2024/2/23 21:00,2024/2/24 0:00,8,23.48319769,38,25
73,2024/5/27 21:00,77.32032432,rem,2024/5/27 10:00,2024/5/27 13:00,2024/5/27 18:00,6,18.82352147,40,21
28,2024/10/29 6:00,74.75397886,light,2024/10/28 15:00,2024/10/28 20:00,2024/10/29 0:00,7,22.46944272,55,22
37,2024/1/7 14:00,73.83901132,rem,2024/1/6 23:00,2024/1/7 10:00,2024/1/7 8:00,5,24.52655865,50,21
53,2024/10/23 9:00,73.60310402,light,2024/10/22 17:00,2024/10/23 5:00,2024/10/23 4:00,9,20.89955584,39,27
31,2024/2/22 6:00,72.68314435,rem,2024/2/21 22:00,2024/2/22 0:00,2024/2/21 22:00,5,22.31104948,39,39
19,2024/10/8 21:00,69.72660463,deep,2024/10/8 12:00,2024/10/8 12:00,2024/10/8 15:00,6,22.57721764,44,26
83,2024/2/12 6:00,70.46461548,light,2024/2/11 15:00,2024/2/11 22:00,2024/2/12 4:00,4,19.8896976,41,21
30,2024/12/24 21:00,74.47927881,light,2024/12/24 5:00,2024/12/24 13:00,2024/12/24 16:00,8,21.27984936,46,32
51,2024/5/18 1:00,64.17488309,rem,2024/5/17 15:00,2024/5/17 13:00,2024/5/17 18:00,5,25.59960036,46,30
29,2024/5/25 12:00,67.74094584,rem,2024/5/24 21:00,2024/5/25 3:00,2024/5/25 4:00,6,19.56497841,38,31
14,2024/11/7 2:00,68.871331,light,2024/11/6 16:00,2024/11/6 19:00,2024/11/6 22:00,2,24.22606372,38,36
69,2024/9/14 14:00,67.86470774,deep,2024/9/14 6:00,2024/9/14 9:00,2024/9/14 12:00,9,20.74958686,45,38
75,2024/10/16 15:00,67.36426341,light,2024/10/16 4:00,2024/10/16 11:00,2024/10/16 11:00,1,24.38530702,43,21
38,2024/8/17 15:00,62.5304763,deep,2024/8/17 2:00,2024/8/17 8:00,2024/8/17 7:00,4,21.62862286,51,24
32,2024/4/9 16:00,74.58563688,light,2024/4/9 2:00,2024/4/9 10:00,2024/4/9 10:00,4,22.69321568,59,32
